dataset,dataset_label,sample_id,sample_short,n_spots,metric,value
GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,mregDC~TLS 12CK,0.279902685813855
GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,mregDC~TLS imprint,0.253430424159793
GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,mregDC~antigen-presentation/MHC-II,0.230165002658056
GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,TLS~antigen-presentation/MHC-II,0.342430807687074
GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,TLS/mregDC co-high O/E,2.73584905660377
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,mregDC~TLS integrated,0.0966068743939752
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,mregDC~TLS 12CK,0.097075163463367
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,mregDC~TLS imprint,0.0747055953558482
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,mregDC~antigen-presentation/MHC-II,0.151289296010929
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,TLS~antigen-presentation/MHC-II,0.235666300129491
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,TLS/mregDC co-high O/E,1.44165512465374
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,mregDC~TLS integrated,0.0911111269568221
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,mregDC~TLS 12CK,0.0986988911157726
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,mregDC~TLS imprint,0.0784640814570491
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,mregDC~antigen-presentation/MHC-II,0.127798796477335
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,TLS~antigen-presentation/MHC-II,0.116928869141916
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,TLS/mregDC co-high O/E,1.66296296296296
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,mregDC~TLS integrated,0.584128380534201
