patient_id	ProjectID	B_cells_quantiseq	Macrophages_M1_quantiseq	Macrophages_M2_quantiseq	Monocytes_quantiseq	Neutrophils_quantiseq	NK_cells_quantiseq	T_cells_CD4_quantiseq	T_cells_CD8_quantiseq	Tregs_quantiseq	Dendritic_cells_quantiseq	Other_quantiseq	method_label	B_cells_naive_CIBERSORT	B_cells_memory_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_gamma_delta_CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Eosinophils_CIBERSORT	Neutrophils_CIBERSORT	P-value_CIBERSORT	Correlation_CIBERSORT	RMSE_CIBERSORT	Absolute_score_(sig_score)_CIBERSORT	T_cells_MCPcounter	CD8_T_cells_MCPcounter	Cytotoxic_lymphocytes_MCPcounter	B_lineage_MCPcounter	NK_cells_MCPcounter	Monocytic_lineage_MCPcounter	Myeloid_dendritic_cells_MCPcounter	Neutrophils_MCPcounter	Endothelial_cells_MCPcounter	Fibroblasts_MCPcounter	aDC_xCell	Adipocytes_xCell	Astrocytes_xCell	B-cells_xCell	Basophils_xCell	CD4+_memory_T-cells_xCell	CD4+_naive_T-cells_xCell	CD4+_T-cells_xCell	CD4+_Tcm_xCell	CD4+_Tem_xCell	CD8+_naive_T-cells_xCell	CD8+_T-cells_xCell	CD8+_Tcm_xCell	CD8+_Tem_xCell	cDC_xCell	Chondrocytes_xCell	Class-switched_memory_B-cells_xCell	CLP_xCell	CMP_xCell	DC_xCell	Endothelial_cells_xCell	Eosinophils_xCell	Epithelial_cells_xCell	Erythrocytes_xCell	Fibroblasts_xCell	GMP_xCell	Hepatocytes_xCell	HSC_xCell	iDC_xCell	Keratinocytes_xCell	ly_Endothelial_cells_xCell	Macrophages_xCell	Macrophages_M1_xCell	Macrophages_M2_xCell	Mast_cells_xCell	Megakaryocytes_xCell	Melanocytes_xCell	Memory_B-cells_xCell	MEP_xCell	Mesangial_cells_xCell	Monocytes_xCell	MPP_xCell	MSC_xCell	mv_Endothelial_cells_xCell	Myocytes_xCell	naive_B-cells_xCell	Neurons_xCell	Neutrophils_xCell	NK_cells_xCell	NKT_xCell	Osteoblast_xCell	pDC_xCell	Pericytes_xCell	Plasma_cells_xCell	Platelets_xCell	Preadipocytes_xCell	pro_B-cells_xCell	Sebocytes_xCell	Skeletal_muscle_xCell	Smooth_muscle_xCell	Tgd_cells_xCell	Th1_cells_xCell	Th2_cells_xCell	Tregs_xCell	ImmuneScore_xCell	StromaScore_xCell	MicroenvironmentScore_xCell	Bcells_EPIC	CAFs_EPIC	CD4_Tcells_EPIC	CD8_Tcells_EPIC	Endothelial_EPIC	Macrophages_EPIC	NKcells_EPIC	otherCells_EPIC	StromalScore_estimate	ImmuneScore_estimate	ESTIMATEScore_estimate	TumorPurity_estimate	ProjectID_IPS	MHC_IPS	EC_IPS	SC_IPS	CP_IPS	AZ_IPS	IPS_IPS	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
TCGA-24-2019	ov												CIBERSORT_ABS	0.119168727515983	0	0.211924905987079	0.607672172193681	0	0.410742440880411	0.0106263852844636	0.186210271973034	0.156470718768997	0	0	0	0.128680355771363	0.0599935726975178	0.211137229693408	0.214212546367973	0	0	0	0.03846067286609	0	0	0.01	0.202041234536767	1.02026753308549	2.3553																																																																																																																							
TCGA-24-1435	ov												CIBERSORT_ABS	0	0.0603999454487719	0	0.191271936865884	0	0.37121586720381	0	0.0412062162900614	0.179794589165224	0	0	0.120778993788819	0.0643082924985929	0.262557528803072	0.421228070464087	0.526436526617468	0.0835003126119799	0.0103067157089969	0.0171246112985503	0	0	0.00292039323468226	0	0.316140357116752	0.962355180600287	2.35305																																																																																																																							
TCGA-29-1784	ov												CIBERSORT_ABS	0.0111512303422281	0.0206780889529803	0.508034886100639	0.256498122274642	0	0.325088452309429	0.0111274038382934	0.131530232501557	0.146966386372868	0	0	0.00592707899687607	0.0299748746288762	0.175762218407167	0.189109196836113	0.456864440352783	0.0045905586993384	0	0	0.000361856381679313	0	0.00688497300453061	0	0.339647777524456	0.947569858491545	2.28055																																																																																																																							
TCGA-61-1725	ov												CIBERSORT_ABS	0.0137908391911968	0	0.0492789325399113	0.124317082685629	0	0.357281959562123	0	0.0388916473077134	0.0408535778183709	0.197454040125451	0	0.0555228902783989	0	0	0.165097749884341	0.419401959271092	0.0159243548519814	0.000228082973541037	0.097269584997283	0	0	0.0257872985129669	0.14	0.0833751021257695	1.06145716577916	1.6011																																																																																																																							
TCGA-04-1536	ov												CIBERSORT_ABS	0	0.0175748075664819	0.0158790437553542	0.030487318422788	0	0.164881003498711	0	0.0185799426960583	0.0453351387112988	0	0	0.029881975345979	0.114597529243986	0	0.0279371636931383	0.0810412985370578	0	0.0386091288820731	0	0.0765761589933211	0.00671949065375324	0	0.21	0.0669086444826083	1.05838347030431	0.6681																																																																																																																							
TCGA-61-1995	ov												CIBERSORT_ABS	0	0.0634720436611647	0.0050712085338334	0.18938145537652	0	1.06756320057669	0	0.0243563564025176	0.493329610006864	0	0	0.116352001681926	0.103090076174347	0.371381825614733	0.164842800396141	0.710779221707647	0.0106250372267577	0	0.0725366430221502	0	0	0.00641851961870759	0	0.235022169519292	0.999023652679952	3.3992																																																																																																																							
TCGA-61-1737	ov												CIBERSORT_ABS	0	0.0264167715418392	0.021532330725475	0.121517526655587	0	0.457337443527536	0	0.0867573053618978	0.129323971246934	0	0	0.0675967358952357	0	0.479544507341912	0.168899973497476	0.482200018834404	0.0782310341087648	0.00854253838404345	0	0.0845811188007662	0	0.000218724078129507	0.04	0.15636805548224	1.03286241380598	2.2127																																																																																																																							
TCGA-57-1993	ov												CIBERSORT_ABS	0	0.0243994366255297	0.0955905686692029	0.0105524985669904	0	0.279001734444135	0	0.0165953989465116	0.124632100301845	0	0	0.0145851408346606	0	0.750511783651005	0.0873951426905834	0.491597607247273	0	0	0.0877385880222625	0	0	0	0.1	0.103862971588818	1.07662257779381	1.9826																																																																																																																							
TCGA-24-1470	ov												CIBERSORT_ABS	0.237668170193037	0	0.098521772068591	0.330400459805618	0	0.903790722572089	0.022148302109959	0.283483286759351	0.550316005399676	0	0.141901397563254	0	0.105360851519716	0.163569773159198	0.290570895522814	0.57143953817635	0.0956527981637469	0.108727015277533	0	0.0110801077085255	0	0.00291890400053988	0.04	0.160733923862358	1.03164645756163	3.91755																																																																																																																							
TCGA-24-1842	ov												CIBERSORT_ABS	0	0.0209882877462692	0.086764734828833	0.276670620789722	0	0.447774332925878	0.0112777727871813	0.125509274998203	0.38240551077047	0	0.0592078150429346	0.110223183478362	0.0217712667361188	0.685658933191407	0.166854756193979	0.312804924500141	0.00187729746131239	0	0.0201207403873886	0	0	0.00929054816179942	0.1	0.10290283100038	1.06144546574474	2.7392																																																																																																																							
TCGA-24-1103	ov												CIBERSORT_ABS	0	0.0184689039512721	0.0265913400311815	0.075674877265622	0	0.185655738178296	0	0.0829519413030373	0.0445853072525346	0	0	0.11395427264984	0.0219270079553484	0.100893086668978	0.0636996088314544	0	0	0.0593074578510776	0.0182404234338774	0	0.00500003462748078	0	0.17	0.0757193948563281	1.08416543599466	0.81695																																																																																																																							
TCGA-24-1426	ov												CIBERSORT_ABS	0	0.0958809009925589	0	0.017309895748401	0	0.127517918497438	0	0.0240865083928823	0.0354501582172298	0	0	0.0109128751318848	0.0675390030034441	0.00469513782818504	0.00428460700594154	0.248879415689366	0	0.0904825574748318	0.0115320816298226	0	0	0.00107894038801483	0.28	0.043390625227419	1.06458305479364	0.73965																																																																																																																							
TCGA-29-1766	ov												CIBERSORT_ABS	0.0336419271006083	0	0.0777195245777422	0.317158864092324	0	0.192866884208809	0	0.0744684222430356	0.141291502179536	0.0317477362640044	0	0.142027125706268	0	0.233708271268846	0.0682928853410745	0.234950653226585	0	0.121235727730531	0.0593804510124653	0	0	0.0162100250481709	0.1	0.10247909381495	1.05377548228089	1.7447																																																																																																																							
TCGA-25-1312	ov												CIBERSORT_ABS	0.103846970823133	0	0.0145654723002576	0.0431135083402788	0	0.209979061337091	0	0.0424589300190348	0.107328449252982	0	0	0.136829551102656	0.171681634674057	0.0127421844985775	0.0499988869642	0.331839236654242	0	0.0988701491162299	0	0.0503459649172601	0	0	0.22	0.0615152457059732	1.05964991948671	1.3736																																																																																																																							
TCGA-24-2038	ov												CIBERSORT_ABS	0	0.0411972141662192	0	0.0390440664711167	0	0.166487186277859	0	0.00815473731269992	0.0620479792840126	0	0	0.111592894493056	0.239743358358765	0.119763904135306	0.00657024051865644	0.110184340592415	0	0.00709199518644971	0	0.0668720832034452	0	0	0.49	0.0121418443414727	1.08922291880565	0.97875																																																																																																																							
TCGA-25-2392	ov												CIBERSORT_ABS	0.0709319317726188	0	0.0351281869931108	0.0809863670908339	0	0.46403050663255	0	0.061339912787266	0.149978520392745	0	0.0565219719113561	0	0.501765451708589	0	0.116362878302761	0.852507121444137	0	0	0.00704715096403144	0	0	0	0.17	0.0759299217091275	1.06007942231128	2.3966																																																																																																																							
TCGA-30-1866	ov												CIBERSORT_ABS	0	0.0550374407121073	0.00596398627487439	0.546108074073803	0	0	0	0.0619703420476851	0.159412670439201	0	0	0.0817437751816366	0.0294552458072256	0.0728466022762626	0.132148923179658	0.179770287548668	0	0	0	0.0126926524588778	0	0	0.1	0.110299697721531	1.07889318650041	1.33715																																																																																																																							
TCGA-04-1337	ov												CIBERSORT_ABS	0.110819225021937	0	0.0163706335655855	0.145240666443883	0	0.529205072880449	0	0.130245914691146	0.126517576976303	0	0.0849522795268865	0.077187429811208	0.0416535263557003	0.0934853811871019	0.279421480966728	0.369581122252785	0.0757990002410903	0	0.0412656152989647	0	0	0.00235507478023193	0.1	0.107137180915773	1.05365875864064	2.1241																																																																																																																							
TCGA-24-1417	ov												CIBERSORT_ABS	0.235548857374037	0	0.0796761971018393	0.132957841142783	0	0.782012179635486	0.0172249575663802	0.219751842185481	0.351677126440832	0	0.0401242446638607	0.226348195787492	0.0128047296342461	0.857055093732092	0.242366922226998	0.688402836077212	0	0.2231922386681	0.10730673776316	0	0	0	0.02	0.187423298507772	1.01329701941245	4.21645																																																																																																																							
TCGA-24-2036	ov												CIBERSORT_ABS	0	0.0925412401711325	0.0191425769625387	0.0257681982011041	0	0.0717389510312062	0	0.0528582198227765	0.0632047316897385	0	0	0.0496224453564262	0.0127951842849461	0.204438644159015	0.000555838535973618	0.41680444252729	0	0.0825007768383347	0.101728750419518	0	0	0	0.14	0.0839218625356425	1.05660213759762	1.1937																																																																																																																							
TCGA-23-1809	ov												CIBERSORT_ABS	0.151436197022012	0	0.0363462347741551	0.00313816242956542	0	0.274390919094059	0	0.0839965184272188	0.0447588348326727	0	0.0127527694755282	0.00648146761370606	0	0.666669692745171	0.0900021405356265	0.133369683884352	0	0.0060638639139435	0	0.0213935152519893	0	0	0.05	0.140491061427539	1.05943835981336	1.5308																																																																																																																							
TCGA-25-2398	ov												CIBERSORT_ABS	0.0175741850577838	0	0.0159911066760915	0.105306418422607	0	0.434800280469219	0	0	0.0961415042101758	0	0	0.123870238563143	0	1.11224584896533	0.124470849763556	0.339339430890428	0	0	0	0.00781013698166744	0	0	0.23	0.0530800593056266	1.11927770966781	2.37755																																																																																																																							
TCGA-13-0899	ov												CIBERSORT_ABS	0	0.0513432975741589	0.0739186351564526	0.0765921340023621	0	0.0384422663426524	0	0.103880190620158	0.11968032515675	0	0	0.103311147747778	0.00983620564858534	0.272703399711448	0.0538053376999124	0.126761951145575	0.0513894661443934	0	0	0.172940681383969	0	0.0105949616658052	0.04	0.156413029771775	1.03022281051464	1.2652																																																																																																																							
TCGA-23-1123	ov												CIBERSORT_ABS	0.0104350258230271	0.0985438554893965	0.120190895219378	0.537964322002363	0	0.589886123807793	0.046539441109519	0.211377853559726	0.220442411441852	0	0.101570900495658	0	0.107875639830167	0.263597386256066	0.378233570665098	0.754094743175572	0	0.0488919533651577	0.00403455401906654	0	0	0.0062713237401594	0.07	0.123885059837219	1.04394248389212	3.49995																																																																																																																							
TCGA-04-1530	ov												CIBERSORT_ABS	0.0727562282057336	0	0.162046384612812	0.143082117624706	0	0.584169556790239	0	0.107086886412287	0.151392160649369	0	0	0.144731360707449	0.0335570341800916	0.355871403010561	0.250156934851579	0.47937586668953	0.00229351688139097	0	0	0.0425121339847745	0.000568415399477032	0	0.0600000000000001	0.128482496789325	1.03999909414875	2.5296																																																																																																																							
