dataset,sample_id,signature,n_requested,n_available,available_genes,coverage_fraction,sample_short,legacy_signature_label,signature_source,coverage_note
GSE211956,GSM6506114_SP5,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP5,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506114_SP5,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP5,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP6,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP6,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP6,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP6,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP6,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506115_SP6,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP6,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP7,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP7,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP7,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP7,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP7,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506116_SP7,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP7,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP8,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP8,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP8,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP8,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP8,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506117_SP8,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP8,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,OCCR2v,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1;SSR4,1.0,OCCR2v,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,OCCR2v,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,OCCR2v,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,OCCR2v,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019835_OCCR2v,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,OCCR2v,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,OCCS3v,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1;SSR4,1.0,OCCS3v,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,OCCS3v,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,OCCS3v,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,OCCS3v,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE224335,GSM7019836_OCCS3v,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,OCCS3v,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454234_Patient_2,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,Patient_2,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
