dataset,sample_id,signature,n_requested,n_available,available_genes,coverage_fraction,sample_short,legacy_signature_label,signature_source,coverage_note
GSE211956,GSM6506111_SP2,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP2,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506111_SP2,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP2,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506111_SP2,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP2,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP3,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP3,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP3,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP3,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP3,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506112_SP3,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP3,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP4,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP4,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP4,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP4,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,SP4,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506113_SP4,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,SP4,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506114_SP5,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,SP5,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506114_SP5,TLS_spatial_imprint_overlap,28,28,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;SSR4;CCL19;CCL21;IGHG4;IGHG2;IGHGP;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;IGLC2;IGLC3;XBP1,1.0,SP5,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506114_SP5,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,SP5,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE211956,GSM6506114_SP5,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1.0,SP5,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
