dataset,dataset_label,sample_id,sample_short,n_spots,observed_expected_tls_mregdc_cohigh,cor_mregDC_TLS_integrated_spearman,cor_mregDC_AP_MHCII_spearman
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,2.91485682782585,0.580255016410131,0.630793435390549
GSE211956,GSE211956,GSM6506112_SP3,SP3,1504,3.56194903732292,0.272060255335576,0.304909460406355
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,1.66296296296296,0.0911111269568221,0.127798796477335
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,4.12220755961919,0.161744382696343,0.146669224937262
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,4.01028841288582,0.450558842046107,0.335255440107459
