field_id,n_cells,n_grid_bins,area_um2_proxy,centroid_x,centroid_y,mregDC_high_fraction,AP_MHCII_high_fraction,cohigh_fraction,median_TLS_integrated,median_mregDC,median_AP_MHCII_proxy,median_IFN_response,median_TLS_chemokine,median_B_cell,median_T_cell,median_FDC_GC_proxy,median_HEV_stromal_proxy,median_tumor_proliferation,median_tumor_EMT_invasion
1423,1675,211,258475.0,2106.242698227612,5333.930936916978,1.0,0.1617910447761194,0.1617910447761194,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
588,767,104,127400.0,3320.9277989910975,3039.444865598517,1.0,0.1864406779661017,0.1864406779661017,0.20292197194806186,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,0.4928516477295897,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.6104075055973106,-0.2651848279886006,-0.1488584423960205
1956,860,95,116375.0,5545.4686279296875,7288.527059297783,1.0,0.10813953488372093,0.10813953488372093,0.24715212140702178,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
159,1039,83,101675.0,9712.78943470284,1460.6146750133466,1.0,0.09239653512993262,0.09239653512993262,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
417,543,61,74725.0,6375.083467318428,2236.3184706545667,1.0,0.23941068139963168,0.23941068139963168,0.1854241061825401,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
171,691,51,62475.0,4310.333082361953,1419.4701275749594,1.0,0.10998552821997105,0.10998552821997105,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
858,394,51,62475.0,1956.2355117410573,3689.4536746262293,1.0,0.3020304568527919,0.3020304568527919,0.1733655073884241,-0.08143928000128539,-0.17608969851103667,1.7663127431608014,0.46028364271910016,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1527,246,40,49000.0,1240.1632348037347,5659.359535775534,1.0,0.08130081300813008,0.08130081300813008,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1214,306,39,47775.0,126.15656329136269,4728.616075303819,1.0,0.24183006535947713,0.24183006535947713,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1505,302,38,46550.0,3085.1902114160803,5465.782068113617,1.0,0.1291390728476821,0.1291390728476821,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1372,291,38,46550.0,414.91130207494365,5083.243427499463,1.0,0.1134020618556701,0.1134020618556701,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
555,355,37,45325.0,4906.594861355634,2753.8912872744277,1.0,0.2112676056338028,0.2112676056338028,0.15650461310502375,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1964,214,31,37975.0,3797.3699951171875,7167.265289591852,1.0,0.04205607476635514,0.04205607476635514,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1042,378,29,35525.0,5276.536246486442,4067.3072387049438,1.0,0.25396825396825395,0.25396825396825395,0.16845478391819962,-0.08143928000128539,-0.17608969851103667,1.2061466875021836,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
16,205,28,34300.0,7923.5788205030485,375.07823099275913,1.0,0.16097560975609757,0.16097560975609757,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
775,184,26,31850.0,1613.1288505222487,3330.718929124915,1.0,0.25,0.25,0.20177737597550327,-0.08143928000128539,-0.17608969851103667,0.5973156165118243,0.4971415742891725,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.65570629804816,-0.2651848279886006,0.5234805022426867
1046,142,23,28175.0,7103.393197073064,4041.3830532020247,1.0,0.09154929577464789,0.09154929577464789,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1483,144,21,25725.0,667.6147783067491,5421.751654730902,1.0,0.13194444444444445,0.13194444444444445,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
918,187,20,24500.0,2862.8870712525068,3696.1643875856453,1.0,0.1657754010695187,0.1657754010695187,0.20120430568299322,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.4318413806191417,-0.2651848279886006,-0.1488584423960205
1374,162,20,24500.0,2082.9392602237654,5050.605161313658,1.0,0.1728395061728395,0.1728395061728395,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
803,158,18,22050.0,1328.3610963459257,3390.9977811016615,1.0,0.12025316455696203,0.12025316455696203,0.18328414096356554,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.536484641504176,-0.2651848279886006,0.16624219320609535
994,154,18,22050.0,3391.4914709314126,3885.1751233385753,1.0,0.12987012987012986,0.12987012987012986,0.20867354621068232,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1570,109,18,22050.0,249.51335850986865,5761.743459719037,1.0,0.12844036697247707,0.12844036697247707,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
903,107,18,22050.0,10094.676164573599,3700.2404693888725,1.0,0.08411214953271028,0.08411214953271028,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
875,157,17,20825.0,3310.6944059141124,3618.574462890625,1.0,0.1337579617834395,0.1337579617834395,0.18943250900518735,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.5486775262359951,-0.2651848279886006,-0.1488584423960205
442,110,17,20825.0,7571.281392045455,2234.0027077414775,1.0,0.16363636363636364,0.16363636363636364,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1304,139,16,19600.0,2462.05908203125,4799.150239573966,1.0,0.302158273381295,0.302158273381295,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,0.35718065134165305,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
708,137,16,19600.0,4568.231552235401,3229.6358081232893,1.0,0.21897810218978103,0.21897810218978103,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
223,110,16,19600.0,3821.7286088423293,1547.086475719105,1.0,0.09090909090909091,0.09090909090909091,0.23967310786838797,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,0.5081889400948141,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.6899275017762043,-0.2651848279886006,-0.1488584423960205
488,103,16,19600.0,10371.149527836771,2383.4458695198728,1.0,0.08737864077669903,0.08737864077669903,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1142,159,15,18375.0,5127.583677279874,4286.711290659395,1.0,0.22641509433962265,0.22641509433962265,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
432,140,15,18375.0,7334.395975167411,2204.0794102260043,1.0,0.2714285714285714,0.2714285714285714,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
874,138,14,17150.0,1172.311648161515,3576.9299440245695,1.0,0.21014492753623187,0.21014492753623187,0.23001333036557708,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,0.512485136636833,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.6148440902497203,-0.2651848279886006,-0.1488584423960205
237,105,14,17150.0,6985.156831287202,1640.9038492838542,1.0,0.1523809523809524,0.1523809523809524,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
1583,91,14,17150.0,2726.239713899382,5688.536916208791,1.0,0.0989010989010989,0.0989010989010989,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
272,86,14,17150.0,9146.935967023983,1734.292450660883,1.0,0.13953488372093023,0.13953488372093023,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
170,193,13,15925.0,3745.308784761577,1257.0007083873056,1.0,0.08290155440414508,0.08290155440414508,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
813,155,13,15925.0,2181.5247763356856,3420.2563649823587,1.0,0.5741935483870968,0.5741935483870968,-0.08838780025696436,-0.08143928000128539,1.1341834546157539,7.458350958630507,4.557601279612202,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
350,108,13,15925.0,7065.274676287616,1933.9118279351128,1.0,0.14814814814814814,0.14814814814814814,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
267,71,13,15925.0,7681.831776793574,1700.0809738803916,1.0,0.2535211267605634,0.2535211267605634,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
206,141,12,14700.0,6704.108173343307,1448.967756988309,1.0,0.1702127659574468,0.1702127659574468,-0.08838780025696436,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,-0.1088472625413905,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,-0.16011755815834072,-0.2651848279886006,-0.1488584423960205
916,119,12,14700.0,993.779794901359,3654.8703346573006,1.0,0.16806722689075632,0.16806722689075632,0.1923964677645088,-0.08143928000128539,-0.17608969851103667,-0.15740122242167007,0.48457563704396406,-0.058819394261891346,-0.09399313265080518,-0.11220550431535131,0.6023326148957474,-0.2651848279886006,-0.1488584423960205
